tanggal,kabupaten_kota,pasar,komoditas,varian,satuan,harga,diambil_pada_utc
2024-02-02,Kota Yogyakarta,Pasar Beringharjo,Minyak Sawit,Minyak Goreng Sawit Curah,lt,14500,2026-08-31
2024-02-02,Kota Yogyakarta,Pasar Beringharjo,Minyak Sawit,Minyak Goreng Sawit Kemasan Premium,lt,21333,2026-08-31
2024-02-02,Kota Yogyakarta,Pasar Beringharjo,Minyak Sawit,Minyakita,lt,15000,2026-08-31
2024-02-02,Kota Yogyakarta,Pasar Beringharjo,Pisang,Pisang Lokal,kg,15000,2026-08-31
2024-02-02,Kota Yogyakarta,Pasar Beringharjo,Sawi Hijau,Sawi Hijau,kg,8000,2026-08-31
2024-02-02,Kota Yogyakarta,Pasar Beringharjo,Susu,Susu Kental Manis,370gr,12500,2026-08-31
2024-02-02,Kota Yogyakarta,Pasar Beringharjo,Telur Ayam,Telur Ayam Kampung,kg,60333,2026-08-31
2024-02-02,Kota Yogyakarta,Pasar Beringharjo,Telur Ayam,Telur Ayam Ras,kg,26000,2026-08-31
2024-02-02,Kota Yogyakarta,Pasar Beringharjo,Tepung Terigu,Tepung Terigu,kg,10000,2026-08-31
2024-02-02,Kota Yogyakarta,Pasar Beringharjo,Tomat,Tomat,kg,22000,2026-08-31
2024-02-02,Kota Yogyakarta,Pasar Beringharjo,Udang,Udang Basah,kg,82333,2026-08-31
2024-02-02,Kota Yogyakarta,Pasar Prawirotaman,Bawang,Bawang Bombai,kg,26000,2026-08-31
2024-02-02,Kota Yogyakarta,Pasar Prawirotaman,Bawang,Bawang Merah,kg,25000,2026-08-31
2024-02-02,Kota Yogyakarta,Pasar Prawirotaman,Bawang,Bawang Putih Honan,kg,35000,2026-08-31
2024-02-02,Kota Yogyakarta,Pasar Prawirotaman,Bawang,Bawang Putih Kating,kg,40000,2026-08-31
2024-02-02,Kota Yogyakarta,Pasar Prawirotaman,Beras,Beras Khusus,kg,22500,2026-08-31
2024-02-02,Kota Yogyakarta,Pasar Prawirotaman,Beras,Beras Medium,kg,13433,2026-08-31
2024-02-02,Kota Yogyakarta,Pasar Prawirotaman,Beras,Beras SPHP Bulog,kg,10900,2026-08-31
2024-02-02,Kota Yogyakarta,Pasar Prawirotaman,Cabai,Cabai Merah Besar,kg,86000,2026-08-31
2024-02-02,Kota Yogyakarta,Pasar Prawirotaman,Cabai,Cabai Merah Keriting,kg,51000,2026-08-31
2024-02-02,Kota Yogyakarta,Pasar Prawirotaman,Cabai,Cabai Rawit Hijau,kg,39000,2026-08-31
2024-02-02,Kota Yogyakarta,Pasar Prawirotaman,Cabai,Cabai Rawit Merah,kg,37000,2026-08-31
2024-02-02,Kota Yogyakarta,Pasar Prawirotaman,Daging Ayam,Daging Ayam Kampung,ekor,112500,2026-08-31
2024-02-02,Kota Yogyakarta,Pasar Prawirotaman,Daging Ayam,Daging Ayam Ras,kg,35000,2026-08-31
2024-02-02,Kota Yogyakarta,Pasar Prawirotaman,Daging Ruminansia,Daging Sapi Paha Belakang,kg,135000,2026-08-31
2024-02-02,Kota Yogyakarta,Pasar Prawirotaman,Daging Ruminansia,Daging Sapi Paha Depan,kg,135000,2026-08-31
2024-02-02,Kota Yogyakarta,Pasar Prawirotaman,Daging Ruminansia,Daging Sapi Sandung Lamur,kg,85000,2026-08-31
2024-02-02,Kota Yogyakarta,Pasar Prawirotaman,Garam,Garam Halus,kg,12000,2026-08-31
2024-02-02,Kota Yogyakarta,Pasar Prawirotaman,Gula,Gula Pasir Curah,kg,17000,2026-08-31
2024-02-02,Kota Yogyakarta,Pasar Prawirotaman,Gula,Gula Pasir Kemasan,kg,18000,2026-08-31
2024-02-02,Kota Yogyakarta,Pasar Prawirotaman,Ikan,Ikan Bandeng,kg,44000,2026-08-31
2024-02-02,Kota Yogyakarta,Pasar Prawirotaman,Ikan,Ikan Teri,kg,41000,2026-08-31
2024-02-02,Kota Yogyakarta,Pasar Prawirotaman,Ikan,Ikan Tongkol,kg,35000,2026-08-31
2024-02-02,Kota Yogyakarta,Pasar Prawirotaman,Jeruk,Jeruk Lokal,kg,22000,2026-08-31
2024-02-02,Kota Yogyakarta,Pasar Prawirotaman,Kacang Panjang,Kacang Panjang,kg,8000,2026-08-31
2024-02-02,Kota Yogyakarta,Pasar Prawirotaman,Kacang-Kacangan,Kacang Hijau,kg,24000,2026-08-31
2024-02-02,Kota Yogyakarta,Pasar Prawirotaman,Kacang-Kacangan,Kacang Tanah,kg,32000,2026-08-31
2024-02-02,Kota Yogyakarta,Pasar Prawirotaman,Kangkung,Kangkung,kg,6000,2026-08-31
2024-02-02,Kota Yogyakarta,Pasar Prawirotaman,Kedelai,Kedelai Impor,kg,12500,2026-08-31
2024-02-02,Kota Yogyakarta,Pasar Prawirotaman,Kedelai,Kedelai Lokal,kg,12500,2026-08-31
2024-02-02,Kota Yogyakarta,Pasar Prawirotaman,Kedelai,Tahu Putih,kg,16000,2026-08-31
2024-02-02,Kota Yogyakarta,Pasar Prawirotaman,Kedelai,Tempe Bungkus,kg,16500,2026-08-31
2024-02-02,Kota Yogyakarta,Pasar Prawirotaman,Kentang,Kentang Sedang,kg,21000,2026-08-31
2024-02-02,Kota Yogyakarta,Pasar Prawirotaman,Ketela Pohon,Ketela Pohon,kg,7000,2026-08-31
2024-02-02,Kota Yogyakarta,Pasar Prawirotaman,Ketimun,Ketimun Sedang,kg,7000,2026-08-31
2024-02-02,Kota Yogyakarta,Pasar Prawirotaman,Mie Instan,Mie Instan,bks,3000,2026-08-31
2024-02-02,Kota Yogyakarta,Pasar Prawirotaman,Minyak Sawit,Minyak Goreng Sawit Curah,lt,14500,2026-08-31
2024-02-02,Kota Yogyakarta,Pasar Prawirotaman,Minyak Sawit,Minyak Goreng Sawit Kemasan Premium,lt,17000,2026-08-31
2024-02-02,Kota Yogyakarta,Pasar Prawirotaman,Minyak Sawit,Minyakita,lt,15000,2026-08-31
2024-02-02,Kota Yogyakarta,Pasar Prawirotaman,Pisang,Pisang Lokal,kg,15000,2026-08-31
2024-02-02,Kota Yogyakarta,Pasar Prawirotaman,Sawi Hijau,Sawi Hijau,kg,8000,2026-08-31
2024-02-02,Kota Yogyakarta,Pasar Prawirotaman,Susu,Susu Kental Manis,370gr,12500,2026-08-31
2024-02-02,Kota Yogyakarta,Pasar Prawirotaman,Telur Ayam,Telur Ayam Kampung,kg,62000,2026-08-31
2024-02-02,Kota Yogyakarta,Pasar Prawirotaman,Telur Ayam,Telur Ayam Ras,kg,26500,2026-08-31
2024-02-02,Kota Yogyakarta,Pasar Prawirotaman,Tepung Terigu,Tepung Terigu,kg,10000,2026-08-31
2024-02-02,Kota Yogyakarta,Pasar Prawirotaman,Tomat,Tomat,kg,23000,2026-08-31
2024-02-02,Kota Yogyakarta,Pasar Prawirotaman,Udang,Udang Basah,kg,82667,2026-08-31
2024-02-05,Kab. Gunungkidul,Pasar Argosari,Bawang,Bawang Bombai,kg,25000,2026-08-31
2024-02-05,Kab. Gunungkidul,Pasar Argosari,Bawang,Bawang Merah,kg,22000,2026-08-31
2024-02-05,Kab. Gunungkidul,Pasar Argosari,Bawang,Bawang Putih Honan,kg,32000,2026-08-31
2024-02-05,Kab. Gunungkidul,Pasar Argosari,Bawang,Bawang Putih Kating,kg,40000,2026-08-31
2024-02-05,Kab. Gunungkidul,Pasar Argosari,Beras,Beras Medium,kg,15000,2026-08-31
2024-02-05,Kab. Gunungkidul,Pasar Argosari,Beras,Beras Premium,kg,17000,2026-08-31
2024-02-05,Kab. Gunungkidul,Pasar Argosari,Beras,Beras SPHP Bulog,kg,10900,2026-08-31
2024-02-05,Kab. Gunungkidul,Pasar Argosari,Cabai,Cabai Merah Besar,kg,50000,2026-08-31
2024-02-05,Kab. Gunungkidul,Pasar Argosari,Cabai,Cabai Merah Keriting,kg,25000,2026-08-31
2024-02-05,Kab. Gunungkidul,Pasar Argosari,Cabai,Cabai Rawit Hijau,kg,35000,2026-08-31
2024-02-05,Kab. Gunungkidul,Pasar Argosari,Cabai,Cabai Rawit Merah,kg,35000,2026-08-31
2024-02-05,Kab. Gunungkidul,Pasar Argosari,Daging Ayam,Daging Ayam Kampung,ekor,90000,2026-08-31
2024-02-05,Kab. Gunungkidul,Pasar Argosari,Daging Ayam,Daging Ayam Ras,kg,34000,2026-08-31
2024-02-05,Kab. Gunungkidul,Pasar Argosari,Daging Ruminansia,Daging Sapi Paha Belakang,kg,130000,2026-08-31
2024-02-05,Kab. Gunungkidul,Pasar Argosari,Daging Ruminansia,Daging Sapi Paha Depan,kg,100000,2026-08-31
2024-02-05,Kab. Gunungkidul,Pasar Argosari,Daging Ruminansia,Daging Sapi Sandung Lamur,kg,80000,2026-08-31
2024-02-05,Kab. Gunungkidul,Pasar Argosari,Daging Ruminansia,Daging Sapi Tetelan,kg,40000,2026-08-31
2024-02-05,Kab. Gunungkidul,Pasar Argosari,Garam,Garam Halus,kg,13000,2026-08-31
2024-02-05,Kab. Gunungkidul,Pasar Argosari,Gula,Gula Pasir Curah,kg,16500,2026-08-31
2024-02-05,Kab. Gunungkidul,Pasar Argosari,Gula,Gula Pasir Kemasan,kg,17000,2026-08-31
2024-02-05,Kab. Gunungkidul,Pasar Argosari,Ikan,Ikan Bandeng,kg,34000,2026-08-31
2024-02-05,Kab. Gunungkidul,Pasar Argosari,Ikan,Ikan Teri,kg,80000,2026-08-31
2024-02-05,Kab. Gunungkidul,Pasar Argosari,Ikan,Ikan Tongkol,kg,33000,2026-08-31
2024-02-05,Kab. Gunungkidul,Pasar Argosari,Jeruk,Jeruk Lokal,kg,20000,2026-08-31
2024-02-05,Kab. Gunungkidul,Pasar Argosari,Kacang Panjang,Kacang Panjang,kg,10000,2026-08-31
2024-02-05,Kab. Gunungkidul,Pasar Argosari,Kacang-Kacangan,Kacang Hijau,kg,22000,2026-08-31
2024-02-05,Kab. Gunungkidul,Pasar Argosari,Kacang-Kacangan,Kacang Tanah,kg,28000,2026-08-31
2024-02-05,Kab. Gunungkidul,Pasar Argosari,Kangkung,Kangkung,kg,9000,2026-08-31
2024-02-05,Kab. Gunungkidul,Pasar Argosari,Kedelai,Kedelai Impor,kg,13000,2026-08-31
2024-02-05,Kab. Gunungkidul,Pasar Argosari,Kedelai,Kedelai Lokal,kg,20000,2026-08-31
2024-02-05,Kab. Gunungkidul,Pasar Argosari,Kedelai,Tahu Putih,kg,12000,2026-08-31
2024-02-05,Kab. Gunungkidul,Pasar Argosari,Kedelai,Tempe Bungkus,kg,13000,2026-08-31
2024-02-05,Kab. Gunungkidul,Pasar Argosari,Kentang,Kentang Sedang,kg,19000,2026-08-31
2024-02-05,Kab. Gunungkidul,Pasar Argosari,Ketela Pohon,Ketela Pohon,kg,7000,2026-08-31
2024-02-05,Kab. Gunungkidul,Pasar Argosari,Ketimun,Ketimun Sedang,kg,5000,2026-08-31
2024-02-05,Kab. Gunungkidul,Pasar Argosari,Mie Instan,Mie Instan,bks,3400,2026-08-31
2024-02-05,Kab. Gunungkidul,Pasar Argosari,Minyak Sawit,Minyak Goreng Sawit Curah,lt,16000,2026-08-31
2024-02-05,Kab. Gunungkidul,Pasar Argosari,Minyak Sawit,Minyak Goreng Sawit Kemasan Premium,lt,18000,2026-08-31
2024-02-05,Kab. Gunungkidul,Pasar Argosari,Minyak Sawit,Minyakita,lt,15000,2026-08-31
2024-02-05,Kab. Gunungkidul,Pasar Argosari,Pisang,Pisang Lokal,kg,22000,2026-08-31
2024-02-05,Kab. Gunungkidul,Pasar Argosari,Sawi Hijau,Sawi Hijau,kg,9000,2026-08-31
2024-02-05,Kab. Gunungkidul,Pasar Argosari,Susu,Susu Bubuk,400gr,43000,2026-08-31
2024-02-05,Kab. Gunungkidul,Pasar Argosari,Susu,Susu Bubuk Balita,400gr,39500,2026-08-31
2024-02-05,Kab. Gunungkidul,Pasar Argosari,Susu,Susu Kental Manis,370gr,17800,2026-08-31
2024-02-05,Kab. Gunungkidul,Pasar Argosari,Telur Ayam,Telur Ayam Kampung,kg,40000,2026-08-31
2024-02-05,Kab. Gunungkidul,Pasar Argosari,Telur Ayam,Telur Ayam Ras,kg,27000,2026-08-31
2024-02-05,Kab. Gunungkidul,Pasar Argosari,Tepung Terigu,Tepung Terigu,kg,12000,2026-08-31
2024-02-05,Kab. Gunungkidul,Pasar Argosari,Tomat,Tomat,kg,20000,2026-08-31
2024-02-05,Kab. Gunungkidul,Pasar Argosari,Udang,Udang Basah,kg,82000,2026-08-31
2024-02-05,Kota Yogyakarta,Pasar Beringharjo,Bawang,Bawang Bombai,kg,25000,2026-08-31
2024-02-05,Kota Yogyakarta,Pasar Beringharjo,Bawang,Bawang Merah,kg,22667,2026-08-31
2024-02-05,Kota Yogyakarta,Pasar Beringharjo,Bawang,Bawang Putih Honan,kg,34000,2026-08-31
2024-02-05,Kota Yogyakarta,Pasar Beringharjo,Bawang,Bawang Putih Kating,kg,39000,2026-08-31
2024-02-05,Kota Yogyakarta,Pasar Beringharjo,Beras,Beras Khusus,kg,21667,2026-08-31
2024-02-05,Kota Yogyakarta,Pasar Beringharjo,Beras,Beras Medium,kg,12783,2026-08-31
2024-02-05,Kota Yogyakarta,Pasar Beringharjo,Beras,Beras Premium,kg,15917,2026-08-31
2024-02-05,Kota Yogyakarta,Pasar Beringharjo,Beras,Beras SPHP Bulog,kg,10800,2026-08-31
2024-02-05,Kota Yogyakarta,Pasar Beringharjo,Cabai,Cabai Merah Besar,kg,71000,2026-08-31
2024-02-05,Kota Yogyakarta,Pasar Beringharjo,Cabai,Cabai Merah Keriting,kg,61000,2026-08-31
2024-02-05,Kota Yogyakarta,Pasar Beringharjo,Cabai,Cabai Rawit Hijau,kg,36000,2026-08-31
2024-02-05,Kota Yogyakarta,Pasar Beringharjo,Cabai,Cabai Rawit Merah,kg,41000,2026-08-31
2024-02-05,Kota Yogyakarta,Pasar Beringharjo,Daging Ayam,Daging Ayam Kampung,ekor,105000,2026-08-31
2024-02-05,Kota Yogyakarta,Pasar Beringharjo,Daging Ayam,Daging Ayam Ras,kg,34000,2026-08-31
2024-02-05,Kota Yogyakarta,Pasar Beringharjo,Daging Ruminansia,Daging Sapi Paha Belakang,kg,130000,2026-08-31
2024-02-05,Kota Yogyakarta,Pasar Beringharjo,Daging Ruminansia,Daging Sapi Paha Depan,kg,130000,2026-08-31
2024-02-05,Kota Yogyakarta,Pasar Beringharjo,Daging Ruminansia,Daging Sapi Sandung Lamur,kg,80000,2026-08-31
2024-02-05,Kota Yogyakarta,Pasar Beringharjo,Daging Ruminansia,Daging Sapi Tetelan,kg,70000,2026-08-31
2024-02-05,Kota Yogyakarta,Pasar Beringharjo,Garam,Garam Halus,kg,12000,2026-08-31
2024-02-05,Kota Yogyakarta,Pasar Beringharjo,Gula,Gula Pasir Curah,kg,17000,2026-08-31
2024-02-05,Kota Yogyakarta,Pasar Beringharjo,Gula,Gula Pasir Kemasan,kg,18000,2026-08-31
2024-02-05,Kota Yogyakarta,Pasar Beringharjo,Ikan,Ikan Bandeng,kg,44000,2026-08-31
2024-02-05,Kota Yogyakarta,Pasar Beringharjo,Ikan,Ikan Teri,kg,41000,2026-08-31
2024-02-05,Kota Yogyakarta,Pasar Beringharjo,Ikan,Ikan Tongkol,kg,35000,2026-08-31
2024-02-05,Kota Yogyakarta,Pasar Beringharjo,Jeruk,Jeruk Lokal,kg,21000,2026-08-31
2024-02-05,Kota Yogyakarta,Pasar Beringharjo,Kacang Panjang,Kacang Panjang,kg,7000,2026-08-31
2024-02-05,Kota Yogyakarta,Pasar Beringharjo,Kacang-Kacangan,Kacang Hijau,kg,23000,2026-08-31
2024-02-05,Kota Yogyakarta,Pasar Beringharjo,Kacang-Kacangan,Kacang Tanah,kg,31000,2026-08-31
2024-02-05,Kota Yogyakarta,Pasar Beringharjo,Kangkung,Kangkung,kg,6000,2026-08-31
2024-02-05,Kota Yogyakarta,Pasar Beringharjo,Kedelai,Kedelai Impor,kg,11500,2026-08-31
2024-02-05,Kota Yogyakarta,Pasar Beringharjo,Kedelai,Kedelai Lokal,kg,11500,2026-08-31
2024-02-05,Kota Yogyakarta,Pasar Beringharjo,Kedelai,Tahu Putih,kg,15500,2026-08-31
2024-02-05,Kota Yogyakarta,Pasar Beringharjo,Kedelai,Tempe Bungkus,kg,16500,2026-08-31
2024-02-05,Kota Yogyakarta,Pasar Beringharjo,Kentang,Kentang Sedang,kg,20000,2026-08-31
2024-02-05,Kota Yogyakarta,Pasar Beringharjo,Ketela Pohon,Ketela Pohon,kg,7000,2026-08-31
2024-02-05,Kota Yogyakarta,Pasar Beringharjo,Ketimun,Ketimun Sedang,kg,6000,2026-08-31
2024-02-05,Kota Yogyakarta,Pasar Beringharjo,Mie Instan,Mie Instan,bks,3000,2026-08-31
2024-02-05,Kota Yogyakarta,Pasar Beringharjo,Minyak Sawit,Minyak Goreng Sawit Curah,lt,15000,2026-08-31
2024-02-05,Kota Yogyakarta,Pasar Beringharjo,Minyak Sawit,Minyak Goreng Sawit Kemasan Premium,lt,21667,2026-08-31
2024-02-05,Kota Yogyakarta,Pasar Beringharjo,Minyak Sawit,Minyakita,lt,15000,2026-08-31
2024-02-05,Kota Yogyakarta,Pasar Beringharjo,Pisang,Pisang Lokal,kg,15000,2026-08-31
2024-02-05,Kota Yogyakarta,Pasar Beringharjo,Sawi Hijau,Sawi Hijau,kg,8000,2026-08-31
2024-02-05,Kota Yogyakarta,Pasar Beringharjo,Susu,Susu Kental Manis,370gr,12500,2026-08-31
2024-02-05,Kota Yogyakarta,Pasar Beringharjo,Telur Ayam,Telur Ayam Kampung,kg,61000,2026-08-31
2024-02-05,Kota Yogyakarta,Pasar Beringharjo,Telur Ayam,Telur Ayam Ras,kg,26000,2026-08-31
2024-02-05,Kota Yogyakarta,Pasar Beringharjo,Tepung Terigu,Tepung Terigu,kg,10000,2026-08-31
2024-02-05,Kota Yogyakarta,Pasar Beringharjo,Tomat,Tomat,kg,22000,2026-08-31
2024-02-05,Kota Yogyakarta,Pasar Beringharjo,Udang,Udang Basah,kg,81000,2026-08-31
2024-02-05,Kota Yogyakarta,Pasar Prawirotaman,Bawang,Bawang Bombai,kg,26000,2026-08-31
2024-02-05,Kota Yogyakarta,Pasar Prawirotaman,Bawang,Bawang Merah,kg,25000,2026-08-31
2024-02-05,Kota Yogyakarta,Pasar Prawirotaman,Bawang,Bawang Putih Honan,kg,35000,2026-08-31
2024-02-05,Kota Yogyakarta,Pasar Prawirotaman,Bawang,Bawang Putih Kating,kg,39000,2026-08-31
2024-02-05,Kota Yogyakarta,Pasar Prawirotaman,Beras,Beras Khusus,kg,22500,2026-08-31
2024-02-05,Kota Yogyakarta,Pasar Prawirotaman,Beras,Beras Medium,kg,13433,2026-08-31
2024-02-05,Kota Yogyakarta,Pasar Prawirotaman,Beras,Beras SPHP Bulog,kg,10900,2026-08-31
2024-02-05,Kota Yogyakarta,Pasar Prawirotaman,Cabai,Cabai Merah Besar,kg,76000,2026-08-31
2024-02-05,Kota Yogyakarta,Pasar Prawirotaman,Cabai,Cabai Merah Keriting,kg,65000,2026-08-31
2024-02-05,Kota Yogyakarta,Pasar Prawirotaman,Cabai,Cabai Rawit Hijau,kg,39000,2026-08-31
2024-02-05,Kota Yogyakarta,Pasar Prawirotaman,Cabai,Cabai Rawit Merah,kg,45000,2026-08-31
2024-02-05,Kota Yogyakarta,Pasar Prawirotaman,Daging Ayam,Daging Ayam Kampung,ekor,106000,2026-08-31
2024-02-05,Kota Yogyakarta,Pasar Prawirotaman,Daging Ayam,Daging Ayam Ras,kg,35000,2026-08-31
2024-02-05,Kota Yogyakarta,Pasar Prawirotaman,Daging Ruminansia,Daging Sapi Paha Belakang,kg,135000,2026-08-31
2024-02-05,Kota Yogyakarta,Pasar Prawirotaman,Daging Ruminansia,Daging Sapi Paha Depan,kg,135000,2026-08-31
2024-02-05,Kota Yogyakarta,Pasar Prawirotaman,Daging Ruminansia,Daging Sapi Sandung Lamur,kg,85000,2026-08-31
2024-02-05,Kota Yogyakarta,Pasar Prawirotaman,Garam,Garam Halus,kg,12000,2026-08-31
2024-02-05,Kota Yogyakarta,Pasar Prawirotaman,Gula,Gula Pasir Curah,kg,17000,2026-08-31
2024-02-05,Kota Yogyakarta,Pasar Prawirotaman,Gula,Gula Pasir Kemasan,kg,18000,2026-08-31
2024-02-05,Kota Yogyakarta,Pasar Prawirotaman,Ikan,Ikan Bandeng,kg,44000,2026-08-31
2024-02-05,Kota Yogyakarta,Pasar Prawirotaman,Ikan,Ikan Teri,kg,45000,2026-08-31
2024-02-05,Kota Yogyakarta,Pasar Prawirotaman,Ikan,Ikan Tongkol,kg,35000,2026-08-31
2024-02-05,Kota Yogyakarta,Pasar Prawirotaman,Jeruk,Jeruk Lokal,kg,22000,2026-08-31
2024-02-05,Kota Yogyakarta,Pasar Prawirotaman,Kacang Panjang,Kacang Panjang,kg,8000,2026-08-31
2024-02-05,Kota Yogyakarta,Pasar Prawirotaman,Kacang-Kacangan,Kacang Hijau,kg,24000,2026-08-31
2024-02-05,Kota Yogyakarta,Pasar Prawirotaman,Kacang-Kacangan,Kacang Tanah,kg,32000,2026-08-31
2024-02-05,Kota Yogyakarta,Pasar Prawirotaman,Kangkung,Kangkung,kg,6000,2026-08-31
2024-02-05,Kota Yogyakarta,Pasar Prawirotaman,Kedelai,Kedelai Impor,kg,12500,2026-08-31
2024-02-05,Kota Yogyakarta,Pasar Prawirotaman,Kedelai,Kedelai Lokal,kg,12500,2026-08-31
2024-02-05,Kota Yogyakarta,Pasar Prawirotaman,Kedelai,Tahu Putih,kg,16000,2026-08-31
2024-02-05,Kota Yogyakarta,Pasar Prawirotaman,Kedelai,Tempe Bungkus,kg,16500,2026-08-31
2024-02-05,Kota Yogyakarta,Pasar Prawirotaman,Kentang,Kentang Sedang,kg,21000,2026-08-31
2024-02-05,Kota Yogyakarta,Pasar Prawirotaman,Ketela Pohon,Ketela Pohon,kg,7000,2026-08-31
2024-02-05,Kota Yogyakarta,Pasar Prawirotaman,Ketimun,Ketimun Sedang,kg,7000,2026-08-31
2024-02-05,Kota Yogyakarta,Pasar Prawirotaman,Mie Instan,Mie Instan,bks,3000,2026-08-31
2024-02-05,Kota Yogyakarta,Pasar Prawirotaman,Minyak Sawit,Minyak Goreng Sawit Curah,lt,15000,2026-08-31
2024-02-05,Kota Yogyakarta,Pasar Prawirotaman,Minyak Sawit,Minyak Goreng Sawit Kemasan Premium,lt,16500,2026-08-31
2024-02-05,Kota Yogyakarta,Pasar Prawirotaman,Minyak Sawit,Minyakita,lt,15000,2026-08-31
2024-02-05,Kota Yogyakarta,Pasar Prawirotaman,Pisang,Pisang Lokal,kg,15000,2026-08-31
2024-02-05,Kota Yogyakarta,Pasar Prawirotaman,Sawi Hijau,Sawi Hijau,kg,8000,2026-08-31
2024-02-05,Kota Yogyakarta,Pasar Prawirotaman,Susu,Susu Kental Manis,370gr,12500,2026-08-31
2024-02-05,Kota Yogyakarta,Pasar Prawirotaman,Telur Ayam,Telur Ayam Kampung,kg,62000,2026-08-31
2024-02-05,Kota Yogyakarta,Pasar Prawirotaman,Telur Ayam,Telur Ayam Ras,kg,26500,2026-08-31
2024-02-05,Kota Yogyakarta,Pasar Prawirotaman,Tepung Terigu,Tepung Terigu,kg,10000,2026-08-31
2024-02-05,Kota Yogyakarta,Pasar Prawirotaman,Tomat,Tomat,kg,23000,2026-08-31
2024-02-05,Kota Yogyakarta,Pasar Prawirotaman,Udang,Udang Basah,kg,81000,2026-08-31
2024-02-06,Kab. Gunungkidul,Pasar Argosari,Bawang,Bawang Bombai,kg,23000,2026-08-31
2024-02-06,Kab. Gunungkidul,Pasar Argosari,Bawang,Bawang Merah,kg,22000,2026-08-31
2024-02-06,Kab. Gunungkidul,Pasar Argosari,Bawang,Bawang Putih Honan,kg,32000,2026-08-31
2024-02-06,Kab. Gunungkidul,Pasar Argosari,Bawang,Bawang Putih Kating,kg,40000,2026-08-31
2024-02-06,Kab. Gunungkidul,Pasar Argosari,Beras,Beras Medium,kg,15000,2026-08-31
2024-02-06,Kab. Gunungkidul,Pasar Argosari,Beras,Beras Premium,kg,17000,2026-08-31
2024-02-06,Kab. Gunungkidul,Pasar Argosari,Beras,Beras SPHP Bulog,kg,10900,2026-08-31
2024-02-06,Kab. Gunungkidul,Pasar Argosari,Cabai,Cabai Merah Besar,kg,50000,2026-08-31
2024-02-06,Kab. Gunungkidul,Pasar Argosari,Cabai,Cabai Merah Keriting,kg,28000,2026-08-31
2024-02-06,Kab. Gunungkidul,Pasar Argosari,Cabai,Cabai Rawit Hijau,kg,35000,2026-08-31
2024-02-06,Kab. Gunungkidul,Pasar Argosari,Cabai,Cabai Rawit Merah,kg,35000,2026-08-31
2024-02-06,Kab. Gunungkidul,Pasar Argosari,Daging Ayam,Daging Ayam Kampung,ekor,90000,2026-08-31
2024-02-06,Kab. Gunungkidul,Pasar Argosari,Daging Ayam,Daging Ayam Ras,kg,34000,2026-08-31
2024-02-06,Kab. Gunungkidul,Pasar Argosari,Daging Ruminansia,Daging Sapi Paha Belakang,kg,130000,2026-08-31
2024-02-06,Kab. Gunungkidul,Pasar Argosari,Daging Ruminansia,Daging Sapi Paha Depan,kg,100000,2026-08-31
2024-02-06,Kab. Gunungkidul,Pasar Argosari,Daging Ruminansia,Daging Sapi Sandung Lamur,kg,80000,2026-08-31
2024-02-06,Kab. Gunungkidul,Pasar Argosari,Daging Ruminansia,Daging Sapi Tetelan,kg,40000,2026-08-31
2024-02-06,Kab. Gunungkidul,Pasar Argosari,Garam,Garam Halus,kg,13000,2026-08-31
2024-02-06,Kab. Gunungkidul,Pasar Argosari,Gula,Gula Pasir Curah,kg,16500,2026-08-31
2024-02-06,Kab. Gunungkidul,Pasar Argosari,Gula,Gula Pasir Kemasan,kg,17000,2026-08-31
2024-02-06,Kab. Gunungkidul,Pasar Argosari,Ikan,Ikan Bandeng,kg,33000,2026-08-31
2024-02-06,Kab. Gunungkidul,Pasar Argosari,Ikan,Ikan Teri,kg,80000,2026-08-31
2024-02-06,Kab. Gunungkidul,Pasar Argosari,Ikan,Ikan Tongkol,kg,33000,2026-08-31
2024-02-06,Kab. Gunungkidul,Pasar Argosari,Jeruk,Jeruk Lokal,kg,20000,2026-08-31
2024-02-06,Kab. Gunungkidul,Pasar Argosari,Kacang Panjang,Kacang Panjang,kg,10000,2026-08-31
2024-02-06,Kab. Gunungkidul,Pasar Argosari,Kacang-Kacangan,Kacang Hijau,kg,22000,2026-08-31
2024-02-06,Kab. Gunungkidul,Pasar Argosari,Kacang-Kacangan,Kacang Tanah,kg,28000,2026-08-31
2024-02-06,Kab. Gunungkidul,Pasar Argosari,Kangkung,Kangkung,kg,9000,2026-08-31
2024-02-06,Kab. Gunungkidul,Pasar Argosari,Kedelai,Kedelai Impor,kg,13000,2026-08-31
2024-02-06,Kab. Gunungkidul,Pasar Argosari,Kedelai,Kedelai Lokal,kg,20000,2026-08-31
2024-02-06,Kab. Gunungkidul,Pasar Argosari,Kedelai,Tahu Putih,kg,12000,2026-08-31
2024-02-06,Kab. Gunungkidul,Pasar Argosari,Kedelai,Tempe Bungkus,kg,13000,2026-08-31
2024-02-06,Kab. Gunungkidul,Pasar Argosari,Kentang,Kentang Sedang,kg,19000,2026-08-31
2024-02-06,Kab. Gunungkidul,Pasar Argosari,Ketela Pohon,Ketela Pohon,kg,7000,2026-08-31
2024-02-06,Kab. Gunungkidul,Pasar Argosari,Ketimun,Ketimun Sedang,kg,6000,2026-08-31
2024-02-06,Kab. Gunungkidul,Pasar Argosari,Mie Instan,Mie Instan,bks,3400,2026-08-31
2024-02-06,Kab. Gunungkidul,Pasar Argosari,Minyak Sawit,Minyak Goreng Sawit Curah,lt,16000,2026-08-31
